LocalTimestamp,DataReliability,PacketNumber,PG
1758101947.665923,100,60161,5220
1758101947.705923,100,60161,5234
1758101947.745923,100,60179,5242
1758101947.785923,100,60179,5227
1758101947.8259232,100,60195,5236
1758101947.8659232,100,60195,5235
1758101947.9059231,100,60195,5246
1758101947.945923,100,60212,5257
1758101947.985923,100,60212,5234
1758101948.025923,100,60228,5227
1758101948.0659232,100,60228,5210
1758101948.1059232,100,60228,5210
1758101948.1459231,100,60246,5219
1758101948.185923,100,60246,5227
1758101948.225923,100,60262,5222
1758101948.265923,100,60262,5222
1758101948.3059232,100,60262,5214
1758101948.3459232,100,60279,5221
1758101948.3859231,100,60279,5220
1758101948.425923,100,60296,5228
1758101948.465923,100,60296,5244
1758101948.505923,100,60296,5250
1758101948.5459232,100,60312,5256
1758101948.5859232,100,60312,5266
1758101948.6259232,100,60312,5247
1758101948.665923,100,60327,5238
1758101948.705923,100,60327,5242
1758101948.745923,100,60347,5237
1758101948.785923,100,60347,5244
1758101948.8259232,100,60347,5254
1758101948.8659232,100,60365,5242
1758101948.9059231,100,60365,5256
1758101948.945923,100,60382,5254
1758101948.985923,100,60382,5248
1758101949.025923,100,60382,5260
1758101949.0659232,100,60397,5278
1758101949.1059232,100,60397,5276
1758101949.1459231,100,60414,5271
1758101949.185923,100,60414,5283
1758101949.225923,100,60414,5258
1758101949.265923,100,60430,5256
1758101949.3059232,100,60430,5249
1758101949.3459232,100,60447,5241
1758101949.3859231,100,60447,5229
1758101949.425923,100,60447,5223
1758101949.465923,100,60462,5223
1758101949.505923,100,60462,5234
1758101949.5459232,100,60479,5241
1758101949.5859232,100,60479,5240
1758101949.6259232,100,60479,5252
1758101949.665923,100,60495,5241
1758101949.705923,100,60495,5249
1758101949.745923,100,60495,5267
1758101949.785923,100,60513,5265
1758101949.8259232,100,60513,5264
1758101949.8659232,100,60527,5239
1758101949.9059231,100,60527,5228
1758101949.945923,100,60527,5213
1758101949.985923,100,60544,5219
1758101950.025923,100,60544,5224
1758101950.0659232,100,60561,5225
1758101950.1059232,100,60561,5229
1758101950.1459231,100,60561,5239
1758101950.185923,100,60580,5225
1758101950.225923,100,60580,5245
1758101950.265923,100,60594,5260
1758101950.3059232,100,60594,5264
1758101950.3459232,100,60594,5261
1758101950.3859231,100,60611,5257
1758101950.425923,100,60611,5251
1758101950.465923,100,60628,5252
1758101950.505923,100,60628,5234
1758101950.5459232,100,60628,5234
1758101950.5859232,100,60647,5218
1758101950.6259232,100,60647,5245
1758101950.665923,100,60662,5236
1758101950.705923,100,60662,5256
1758101950.745923,100,60662,5272
1758101950.785923,100,60679,5266
1758101950.8259232,100,60679,5257
1758101950.8659232,100,60695,5263
1758101950.9059231,100,60695,5261
1758101950.945923,100,60695,5252
1758101950.985923,100,60717,5248
1758101951.025923,100,60717,5239
1758101951.0659232,100,60717,5235
1758101951.1059232,100,60717,5219
1758101951.1459231,100,60734,5221
1758101951.185923,100,60734,5218
1758101951.225923,100,60751,5240
1758101951.265923,100,60751,5248
1758101951.3059232,100,60751,5253
1758101951.3459232,100,60765,5260
1758101951.3859231,100,60765,5278
1758101951.425923,100,60783,5278
1758101951.465923,100,60783,5281
1758101951.505923,100,60783,5278
1758101951.5459232,100,60801,5260
1758101951.5859232,100,60801,5261
1758101951.6259232,100,60818,5257
1758101951.665923,100,60818,5240
1758101951.705923,100,60818,5252
1758101951.745923,100,60835,5245
1758101951.785923,100,60835,5269
1758101951.8259232,100,60852,5274
1758101951.8659232,100,60852,5271
1758101951.9059231,100,60852,5268
1758101951.945923,100,60868,5272
1758101951.985923,100,60868,5275
1758101952.025923,100,60885,5276
1758101952.0659232,100,60885,5273
1758101952.1059232,100,60885,5271
1758101952.1459231,100,60901,5274
1758101952.185923,100,60901,5276
1758101952.225923,100,60901,5275
1758101952.265923,100,60919,5266
1758101952.3059232,100,60919,5271
1758101952.3459232,100,60935,5279
1758101952.3859231,100,60935,5286
1758101952.425923,100,60935,5285
1758101952.465923,100,60953,5284
1758101952.505923,100,60953,5293
1758101952.5459232,100,60968,5289
1758101952.5859232,100,60968,5302
1758101952.6259232,100,60968,5298
1758101952.665923,100,60984,5278
1758101952.705923,100,60984,5283
1758101952.745923,100,61001,5275
1758101952.785923,100,61001,5280
1758101952.8259232,100,61001,5285
1758101952.8659232,100,61020,5300
1758101952.9059231,100,61020,5302
1758101952.945923,100,61036,5286
1758101952.985923,100,61036,5295
1758101953.025923,100,61036,5303
1758101953.0659232,100,61052,5325
1758101953.1059232,100,61052,5331
1758101953.1459231,100,61068,5323
1758101953.185923,100,61068,5319
1758101953.225923,100,61068,5309
1758101953.265923,100,61085,5298
1758101953.3059232,100,61085,5301
1758101953.3459232,100,61101,5325
1758101953.3859231,100,61101,5330
1758101953.425923,100,61101,5330
1758101953.465923,100,61117,5324
1758101953.505923,100,61117,5328
1758101953.5459232,100,61135,5332
1758101953.5859232,100,61135,5340
1758101953.6259232,100,61135,5336
1758101953.665923,100,61152,5349
1758101953.705923,100,61152,5327
1758101953.745923,100,61169,5323
1758101953.785923,100,61169,5295
1758101953.8259232,100,61169,5304
1758101953.8659232,100,61186,5314
1758101953.9059231,100,61186,5310
1758101953.945923,100,61202,5316
1758101953.985923,100,61202,5318
1758101954.025923,100,61202,5333
1758101954.0659232,100,61220,5336
1758101954.1059232,100,61220,5344
1758101954.1459231,100,61236,5356
1758101954.185923,100,61236,5351
1758101954.225923,100,61236,5338
1758101954.265923,100,61253,5327
1758101954.3059232,100,61253,5319
1758101954.3459232,100,61269,5319
1758101954.3859231,100,61269,5323
1758101954.425923,100,61269,5331
1758101954.465923,100,61287,5330
1758101954.505923,100,61287,5334
1758101954.5459232,100,61303,5334
1758101954.5859232,100,61303,5336
1758101954.6259232,100,61303,5347
1758101954.665923,100,61319,5364
1758101954.705923,100,61319,5356
1758101954.745923,100,61319,5357
1758101954.785923,100,61335,5333
1758101954.8259232,100,61335,5327
1758101954.8659232,100,61352,5327
1758101954.9059231,100,61352,5323
1758101954.945923,100,61352,5329
1758101954.985923,100,61368,5325
1758101955.025923,100,61368,5328
1758101955.0659232,100,61386,5323
1758101955.1059232,100,61386,5319
1758101955.1459231,100,61386,5316
1758101955.185923,100,61400,5333
1758101955.225923,100,61400,5333
1758101955.265923,100,61417,5320
1758101955.3059232,100,61417,5289
1758101955.3459232,100,61417,5283
1758101955.3859231,100,61434,5275
1758101955.425923,100,61434,5279
1758101955.465923,100,61451,5294
1758101955.505923,100,61451,5302
1758101955.5459232,100,61451,5304
1758101955.5859232,100,61451,5293
1758101955.6259232,100,61469,5304
1758101955.665923,100,61469,5303
1758101955.705923,100,61469,5299
1758101955.745923,100,61487,5303
1758101955.785923,100,61487,5309
1758101955.8259232,100,61501,5304
1758101955.8659232,100,61501,5285
1758101955.9059231,100,61501,5279
1758101955.945923,100,61518,5299
1758101955.985923,100,61518,5295
1758101956.025923,100,61544,5301
1758101956.0659232,100,61544,5298
1758101956.1059232,100,61544,5304
1758101956.1459231,100,61544,5307
1758101956.185923,100,61544,5317
1758101956.225923,100,61561,5311
1758101956.265923,100,61561,5310
1758101956.3059232,100,61577,5302
1758101956.3459232,100,61577,5287
1758101956.3859231,100,61577,5280
1758101956.425923,100,61595,5281
1758101956.465923,100,61595,5266
1758101956.505923,100,61611,5273
1758101956.5459232,100,61611,5268
1758101956.5859232,100,61611,5276
1758101956.6259232,100,61628,5272
1758101956.665923,100,61628,5284
1758101956.705923,100,61628,5290
1758101956.745923,100,61645,5296
1758101956.785923,100,61645,5280
1758101956.8259232,100,61662,5264
1758101956.8659232,100,61662,5237
1758101956.9059231,100,61662,5233
1758101956.945923,100,61676,5250
1758101956.985923,100,61676,5256
1758101957.025923,100,61693,5272
1758101957.0659232,100,61693,5279
1758101957.1059232,100,61693,5282
1758101957.1459231,100,61712,5273
1758101957.185923,100,61712,5267
1758101957.225923,100,61729,5286
1758101957.265923,100,61729,5296
1758101957.3059232,100,61729,5288
1758101957.3459232,100,61744,5282
1758101957.3859231,100,61744,5276
1758101957.425923,100,61761,5283
1758101957.465923,100,61761,5279
1758101957.505923,100,61761,5281
1758101957.5459232,100,61777,5280
1758101957.5859232,100,61777,5294
1758101957.6259232,100,61794,5296
1758101957.665923,100,61794,5299
1758101957.705923,100,61794,5307
1758101957.745923,100,61813,5318
1758101957.785923,100,61813,5320
1758101957.8259232,100,61828,5305
1758101957.8659232,100,61828,5285
1758101957.9059231,100,61828,5280
1758101957.945923,100,61844,5289
1758101957.985923,100,61844,5278
1758101958.025923,100,61844,5308
1758101958.0659232,100,61862,5306
1758101958.1059232,100,61862,5317
1758101958.1459231,100,61878,5310
1758101958.185923,100,61878,5311
1758101958.225923,100,61878,5318
1758101958.265923,100,61893,5324
1758101958.3059232,100,61893,5317
1758101958.3459232,100,61909,5298
1758101958.3859231,100,61909,5277
1758101958.425923,100,61909,5285
1758101958.465923,100,61927,5295
1758101958.505923,100,61927,5312
1758101958.5459232,100,61943,5325
1758101958.5859232,100,61943,5333
1758101958.6259232,100,61943,5340
1758101958.665923,100,61960,5327
1758101958.705923,100,61960,5336
1758101958.745923,100,61977,5333
1758101958.785923,100,61977,5330
1758101958.8259232,100,61977,5316
1758101958.8659232,100,61996,5327
1758101958.9059231,100,61996,5324
1758101958.945923,100,62012,5322
1758101958.985923,100,62012,5341
1758101959.025923,100,62012,5336
1758101959.0659232,100,62028,5337
1758101959.1059232,100,62028,5360
1758101959.1459231,100,62044,5352
1758101959.185923,100,62044,5345
1758101959.225923,100,62044,5358
1758101959.265923,100,62063,5353
1758101959.3059232,100,62063,5343
1758101959.3459232,100,62063,5345
1758101959.3859231,100,62079,5326
1758101959.425923,100,62079,5334
1758101959.465923,100,62096,5333
1758101959.505923,100,62096,5340
1758101959.5459232,100,62096,5335
1758101959.5859232,100,62111,5357
1758101959.6259232,100,62111,5360
1758101959.665923,100,62128,5354
1758101959.705923,100,62128,5356
1758101959.745923,100,62128,5351
1758101959.785923,100,62145,5345
1758101959.8259232,100,62145,5344
1758101959.8659232,100,62162,5330
1758101959.9059231,100,62162,5332
1758101959.945923,100,62162,5324
1758101959.985923,100,62176,5337
1758101960.025923,100,62176,5354
1758101960.0659232,100,62194,5347
1758101960.1059232,100,62194,5356
1758101960.1459231,100,62194,5373
1758101960.185923,100,62212,5386
1758101960.225923,100,62212,5367
1758101960.265923,100,62231,5356
1758101960.3059232,100,62231,5351
1758101960.3459232,100,62231,5324
1758101960.3859231,100,62246,5337
1758101960.425923,100,62246,5349
1758101960.465923,100,62263,5323
1758101960.505923,100,62263,5357
1758101960.5459232,100,62263,5357
1758101960.5859232,100,62281,5368
1758101960.6259232,100,62281,5359
1758101960.665923,100,62281,5368
1758101960.705923,100,62298,5348
1758101960.745923,100,62298,5353
1758101960.785923,100,62313,5345
1758101960.8259232,100,62313,5349
1758101960.8659232,100,62313,5333
1758101960.9059231,100,62330,5336
1758101960.945923,100,62330,5348
1758101960.985923,100,62346,5344
1758101961.025923,100,62346,5353
1758101961.0659232,100,62346,5357
1758101961.1059232,100,62364,5363
1758101961.1459231,100,62364,5356
1758101961.185923,100,62384,5343
1758101961.225923,100,62384,5325
1758101961.265923,100,62384,5322
1758101961.3059232,100,62384,5329
1758101961.3459232,100,62400,5320
1758101961.3859231,100,62400,5324
1758101961.425923,100,62416,5323
1758101961.465923,100,62416,5328
1758101961.505923,100,62416,5322
1758101961.5459232,100,62432,5335
1758101961.5859232,100,62432,5344
1758101961.6259232,100,62451,5349
1758101961.665923,100,62451,5348
1758101961.705923,100,62451,5333
1758101961.745923,100,62468,5310
1758101961.785923,100,62468,5292
1758101961.8259232,100,62483,5297
1758101961.8659232,100,62483,5312
1758101961.9059231,100,62483,5316
1758101961.945923,100,62499,5321
1758101961.985923,100,62499,5305
1758101962.025923,100,62517,5325
1758101962.0659232,100,62517,5331
1758101962.1059232,100,62517,5335
1758101962.1459231,100,62533,5321
1758101962.185923,100,62533,5298
1758101962.225923,100,62548,5296
1758101962.265923,100,62548,5280
1758101962.3059232,100,62548,5290
1758101962.3459232,100,62566,5287
1758101962.3859231,100,62566,5283
1758101962.425923,100,62566,5291
1758101962.465923,100,62584,5288
1758101962.505923,100,62584,5297
1758101962.5459232,100,62600,5290
1758101962.5859232,100,62600,5275
1758101962.6259232,100,62600,5269
1758101962.665923,100,62615,5252
1758101962.705923,100,62615,5239
1758101962.745923,100,62632,5232
1758101962.785923,100,62632,5243
1758101962.8259232,100,62632,5250
1758101962.8659232,100,62649,5269
1758101962.9059231,100,62649,5274
1758101962.945923,100,62665,5261
1758101962.985923,100,62665,5266
1758101963.025923,100,62665,5262
1758101963.0659232,100,62682,5270
1758101963.1059232,100,62682,5268
1758101963.1459231,100,62697,5263
1758101963.185923,100,62697,5261
1758101963.225923,100,62697,5261
1758101963.265923,100,62714,5253
1758101963.3059232,100,62714,5269
1758101963.3459232,100,62731,5265
1758101963.3859231,100,62731,5283
1758101963.425923,100,62731,5294
1758101963.465923,100,62748,5289
1758101963.505923,100,62748,5265
1758101963.5459232,100,62762,5263
1758101963.5859232,100,62762,5252
1758101963.6259232,100,62762,5239
1758101963.665923,100,62779,5246
1758101963.705923,100,62779,5249
1758101963.745923,100,62800,5253
1758101963.785923,100,62800,5255
1758101963.8259232,100,62800,5255
1758101963.8659232,100,62817,5260
1758101963.9059231,100,62817,5241
1758101963.945923,100,62817,5250
1758101963.985923,100,62831,5225
1758101964.025923,100,62831,5198
1758101964.0659232,100,62849,5209
1758101964.1059232,100,62849,5214
1758101964.1459231,100,62849,5206
1758101964.185923,100,62865,5218
1758101964.225923,100,62865,5226
1758101964.265923,100,62882,5224
1758101964.3059232,100,62882,5235
1758101964.3459232,100,62882,5229
1758101964.3859231,100,62897,5221
1758101964.425923,100,62897,5195
1758101964.465923,100,62916,5180
1758101964.505923,100,62916,5179
1758101964.5459232,100,62916,5192
1758101964.5859232,100,62932,5221
1758101964.6259232,100,62932,5232
1758101964.665923,100,62949,5255
1758101964.705923,100,62949,5256
1758101964.745923,100,62949,5258
1758101964.785923,100,62966,5255
1758101964.8259232,100,62966,5236
1758101964.8659232,100,62966,5224
1758101964.9059231,100,62983,5228
